Load_res,LFW,Load,LFS
1591.3212,0.325629985,8665.7395,0.546802505
1565.22912,0.41272366,8706.0655,0.566798915
1688.39664,0.507070525,8527.18825,0.545433456
1990.65552,0.560140507,8308.091,0.464775567
2195.63736,0.568166425,8573.7305,0.332697492
2222.10912,0.564774831,8786.35375,0.174547376
2157.97512,0.567998128,8905.547,0.060504847
2114.40264,0.592122061,8915.65725,0.009612128
2066.27904,0.551953476,8705.72725,0
1721.92776,0.503235612,8808.96875,0
1422.83904,0.487688667,8501.58025,0
1228.19592,0.233093339,8575.72175,0
1140.98208,0.278536596,8234.43575,0
1082.3652,0.245609912,7915.494,0
1041.85536,0.214435979,7693.4145,0
1119.70152,0.320670356,7810.57175,0.00158918
1325.67792,0.334454287,7923.495,0.031538923
1612.1616,0.311783456,8549.85925,0.111309512
1697.08896,0.239826244,9425.2725,0.238554007
1681.0248,0.260833604,9642.47975,0.386428213
1696.96296,0.298345353,9635.14575,0.51265333
1849.5456,0.34165206,9461.23025,0.589422511
1801.05744,0.371471408,9351.0355,0.644344482
1692.7176,0.479768448,9028.5975,0.662173443
1590.34176,0.549833345,8884.19525,0.611052127
1563.4164,0.612067302,8850.8355,0.51636678
1684.8804,0.612046778,8937.473,0.377726245
1986.19008,0.58745182,9067.0935,0.302058568
2190.36888,0.593610052,9229.07775,0.245044501
2218.80456,0.544911685,9217.88075,0.13925267
2154.00528,0.427795474,9129.64975,0.057813315
2107.37352,0.31554243,9098.23,0.013428024
2063.98752,0.212884364,9059.098,0
1718.45856,0.178900692,9338.21025,0
1420.84824,0.194939187,9096.34125,0
1264.59648,0.48214975,7470.63725,0
1188.09936,0.466178654,7130.003,0
1124.69952,0.456489204,6906.505,0
1069.01088,0.450420188,6811.02675,0
1108.99992,0.452991772,6833.353,0
1227.70872,0.473143005,7080.7135,0.004285792
1414.60536,0.433341127,7460.1325,0.042025651
1608.05064,0.430288025,7842.469,0.111780254
1671.66384,0.498818807,8162.92275,0.211787705
1711.31688,0.519529742,8078.90575,0.280008162
1856.86704,0.536902481,8061.28475,0.366165106
1832.07528,0.525764668,7977.93775,0.379707428
1752.55752,0.525463362,7733.2835,0.421141264
1666.2828,0.530906884,7520.57675,0.447942278
1655.67696,0.566261646,7295.14525,0.427842576
1727.76408,0.543883042,7233.75975,0.356907728
1912.71024,0.502956035,7345.2275,0.280769309
2038.44144,0.481816979,7649.523,0.215640854
2031.7584,0.396149927,7721.891,0.117838952
1966.48704,0.353726882,7808.76475,0.030888688
2028.02712,0.360246903,7965.92975,0.00123443
1982.14968,0.337324804,8030.0395,0
1752.64992,0.287175563,8285.16,0
1511.02224,0.210274974,7941.40075,0
1287.69816,0.143699817,8143.99075,0
1178.41752,0.117888619,7627.7855,0
1095.20544,0.093201595,7365.6775,0
1037.46216,0.073465135,7198.252,0
1060.80912,0.054389448,7081.7035,0
1161.66288,0.060351673,7196.56975,0
1464.66264,0.074810521,7451.064,0.010225957
1860.8856,0.079398755,7488.26225,0.103175651
2044.73808,0.066665739,7654.84875,0.238340649
2124.65904,0.06484265,7875.86425,0.365088154
2252.89176,0.071513324,7684.1995,0.406025
2256.5256,0.082463298,7606.14875,0.417894323
2136.25272,0.09134132,7639.589,0.360907348
2003.34288,0.085072069,7573.8555,0.324576331
1935.35496,0.075704902,7454.7835,0.288898936
1946.26152,0.070829666,7491.3785,0.224552794
