LOAD_10_YEARS,LOAD_10_YEARS_2,LOAD_10_YEARS_3,LOAD_2020,LOAD_2019,LOAD_2018,LOAD_2017,LOAD_2016,LOAD_2015,LOAD_2014,LOAD_2013,LOAD_2012,LOAD_2011
5676299,1676299,1700.59176,5676299,7890680,9045655,9208533,9588421,9654478,7064103,7748634,9747080,10620128
5549605,1549605,1852.6956,5549605,7815827,8711974,9096105,9535770,9630863,7399845,7833015,9555199,10817109
5426702,1426702,1803.774,5426702,7557862,8506942,8984245,9532700,9382030,7493837,7746685,9437988,10726395
5392669,1392669,1693.91376,5392669,7352123,8331688,8700247,9224466,8902509,7415296,7615669,9367404,10667602
5237890,1237890,1591.3212,5237890,6897982,8295405,8633633,8930383,8606329,7109000,7225045,9047127,10681998
5108762,1108762,1565.22912,5108762,6374189,7990614,8708189,8748404,8456363,6694011,6702522,9024420,10427366
5149235,1149235,1688.39664,5149235,6248038,8131823,8650180,8700659,8453620,6480162,6769983,9015657,10380412
5296131,1296131,1990.65552,5296131,6303733,8125143,8342398,8593001,8388079,6364171,6793031,9043553,10352778
5828929,1828929,2195.63736,5828929,6615925,8404968,8462139,8789113,8536318,6577427,7103753,9275656,10336250
6576771,2576771,2222.10912,6576771,7214440,8801467,8745529,9190385,8883110,7160692,7493347,9743232,10328030
7164382,3164382,2157.97512,7164382,7607358,8774512,8821668,9301920,8960126,7668595,7670992,9550983,10187577
7404482,3404482,2114.40264,7404482,7771695,8804050,8966619,9248528,8989759,7876319,7857362,9433121,10042875
7583549,3583549,2066.27904,7583549,7921830,8799059,8692223,9047781,8852065,7815617,7843381,9232888,9770479
7673163,3673163,1721.92776,7673163,7951153,8856673,8740638,9101108,8927564,8041110,7935742,9327817,10001163
7684042,3684042,1422.83904,7684042,7956882,8922980,8767516,9216976,9109711,8255046,8226936,9494542,10348463
7223589,3223589,1228.19592,7223589,8060460,8305364,8771056,8339181,7582980,7683259,8100628,8790259,9311484
6788087,2788087,1140.98208,6788087,7696784,8031715,8411711,8003623,7336843,7347948,7640003,8284110,8816954
6502813,2502813,1082.3652,6502813,7362994,7620374,8028318,7757526,7051324,6976632,7228023,7831797,8525507
6327198,2327198,1041.85536,6327198,7139027,7429414,7728113,7553252,6970073,6717515,6945786,7790361,8280852
6229352,2229352,1119.70152,6229352,7009958,7463677,7740996,7617706,6928383,6818691,6785951,7834270,8355243
6089883,2089883,1325.67792,6089883,6798837,7433048,7870873,7870689,7273924,6638223,6745574,7875551,8521323
5837731,1837731,1612.1616,5837731,6783034,7814894,8267056,8326279,7794438,6380118,6649978,8277508,9075893
5664874,1664874,1697.08896,5664874,6950096,8533813,9219169,9144959,8732848,6515798,6874564,9119364,9709822
5742266,1742266,1681.0248,5742266,7048163,8842639,9590152,9621039,9349192,6568672,7262680,9685404,10221807
5881068,1881068,1696.96296,5881068,7031651,8581080,9658047,10063629,9622090,6804988,7524913,10099877,10664640
5611763,1611763,1849.5456,5611763,6756472,8311906,9574403,10064303,9794452,6758684,7838953,10179708,10843113
5157280,1157280,1801.05744,5157280,6390871,8123255,9383326,10104083,9853225,6678643,7912143,10291657,11114903
5245868,1245868,1692.7176,5245868,6356659,8014694,9151823,9930501,9870867,6753229,7863640,10040251,10917064
5189047,1189047,1590.34176,5189047,6228106,7898502,8916346,9530983,9740454,6438642,7729898,9939758,10678309
5344520,1344520,1563.4164,5344520,6126504,7716251,8858192,9558075,9459581,6340120,7740937,9807652,10406580
5597291,1597291,1684.8804,5597291,6190500,7858633,8813628,9565272,9378496,6353027,7559777,10096866,10088757
5862750,1862750,1986.19008,5862750,6388588,7946330,9068379,9557258,9457726,6488009,7521227,10013749,10090068
6162323,2162323,2190.36888,6162323,6713107,8176530,9118912,9600111,9539936,6785115,7777957,9908369,9951553
6793298,2793298,2218.80456,6793298,7189270,8392282,9298947,9632274,9841257,7121954,7938253,10135278,10146991
7334723,3334723,2154.00528,7334723,7642060,8424291,9108722,9461397,9662342,7328822,7907363,10080506,9875527
7566055,3566055,2107.37352,7566055,7896757,8500297,9236995,9360801,9259681,7669521,7854571,9674266,9816504
7484938,3484938,2063.98752,7484938,8022526,8543781,8972303,9148654,8936971,7860483,7674745,9189131,9644611
7475429,3475429,1718.45856,7475429,8074754,8654652,9140584,9163526,8930630,8024562,7794014,9062824,9493992
7447230,3447230,1420.84824,7447230,8126531,8722999,9256711,9327246,9106825,8287556,7940446,9209627,10105785
7153071,3153071,1264.59648,7153071,7182093,8102071,7636750,7438275,7780741,7354382,7522048,8019764,8031814
6864398,2864398,1188.09936,6864398,6879518,7716538,7257705,7113506,7365842,7022237,7197242,7638783,7660668
6658439,2658439,1124.69952,6658439,6618792,7366288,6965648,6870784,7086373,6735862,6865288,7241297,7296003
6592627,2592627,1069.01088,6592627,6512764,7203163,6835952,6658568,6946485,6646622,6739454,7128508,7106999
6629233,2629233,1108.99992,6629233,6465507,7160516,6803620,6675621,6977496,6668310,6739835,7007006,7178728
6845364,2845364,1227.70872,6845364,6497845,7187711,6972811,6876541,7146352,6868042,6720714,7242425,7253145
7155367,3155367,1414.60536,7155367,6474794,7151769,7316061,7333537,7594838,7403904,6517574,7535559,7637620
7516852,3516852,1608.05064,7516852,6381587,7216847,7700733,7752223,8100260,7904580,6561163,7889697,8075352
7613244,3613244,1671.66384,7613244,6224661,7281398,8118749,8215658,8639278,8428500,6620724,8325877,8467332
7513489,3513489,1711.31688,7513489,6080198,7211862,8141582,8586259,9098265,8581030,6571184,8545186,8869205
7302958,3302958,1856.86704,7302958,5844648,7066101,8046051,8867797,9247485,8568551,6564640,8533320,9107775
6965412,2965412,1832.07528,6965412,5568383,6756749,8019299,9045323,9081299,8287210,6405945,8479557,9048028
